OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_728,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,4,0,3,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,3,4,0,3,0,0,1,1,0,0,1,0,3,4,0,1,0,0,7,0,1,1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,2,6,0,2,1,4,9,0,1,0,2,0,0
OTU_990,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,4,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5,0,0,2,1,0,0,0,0,0,4,4,1,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,2,0,0,0,0,1,4,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0
OTU_753,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_602,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,11,2,1,0,0,0,0,0,0,2,3,0,0,0,0,5,1,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,13,3,0,1,5,0,0,3,0,0,1,1,2,0,0
OTU_171,0,0,3,0,0,0,4,11,0,35,51,0,0,142,51,25,0,0,1,0,0,0,5,0,0,0,0,2,24,0,0,0,0,0,20,0,0,0,5,0,32,0,25,5,0,0,0,0,1,88,0,0,57,67,1,3,37,1,2,23,135,0,11,0,0,0,24,0,0,5,0,2,56,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,528,0,0,0,68,38,0,7,2,0,0
OTU_679,0,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,0,2,1,0,0,1,6,0,0,0,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,1,1,1
OTU_499,0,0,1,0,0,0,0,0,0,14,0,6,2,0,0,1,0,0,0,8,0,0,0,80,0,0,1,0,18,2,0,0,0,1,8,2,0,1,0,1,3,0,0,4,0,43,0,0,0,0,0,6,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,2,52,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,8,0,1,1,0,0
OTU_863,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,2,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,2,3,0,0,0,0
OTU_826,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0
OTU_435,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,0,1,0,0,0,10,1,0,0,0,5,0,0,1,1,10,71,57,1,0,0,2,1,0,1,0,0,1,0,0,3,0,0,0,0,0,10,8,0,0,1,1,0,1,0,1,10,1,4,6,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
OTU_560,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,1,1,1,0,0,0,0,1,3,2,0,0,3,0,0,0,0,0,0,0,1,2,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1
OTU_903,0,0,4,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0
OTU_594,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
OTU_978,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,4,0,2,0,0,0,1,1,0,0,0,16,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,1,1,0,0,0,0,0,1,0,1,16,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,4,0
OTU_421,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,1,0,1,0,0,0,13,2,0,0,0,2,1,1,3,2,21,45,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,6,0,0,0,2,0,2,2,1,9,1,1,9,0,0,0,1,0,0,2,0,0,0,0,0,0,3,3
OTU_643,0,0,1,0,0,0,0,0,0,8,2,0,4,2,1,1,9,0,0,1,1,8,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,1,4,0,0,0,0,0,2,0,0,15,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,2
OTU_216,0,0,0,10,9,24,0,0,0,0,1,0,1,0,5,0,0,0,0,1,2,5,0,4,47,2,12,0,0,0,6,4,2,0,1,0,0,0,1,0,13,0,0,0,2,11,0,0,6,0,179,2,2,0,0,0,0,0,0,0,33,0,0,40,7,4,0,22,15,0,3,0,0,0,0,0,0,3,1,0,6,11,2,5,2,22,92,0,0,4,1,0,7,0,33,0,1,85,6,1,50,0,0,0,21,0,6
OTU_289,0,0,0,6,11,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,3,31,0,9,0,0,0,5,6,3,0,1,0,0,0,0,0,20,0,0,0,3,8,0,0,1,0,136,0,2,0,0,0,0,0,0,0,23,0,0,17,2,4,0,9,5,0,2,0,0,0,0,0,0,5,3,0,3,6,0,15,0,16,57,0,0,2,1,0,4,0,34,0,0,48,2,0,38,0,0,0,22,0,2
OTU_759,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,1,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_417,0,0,0,79,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,3,0,6,0,0,10,0,0,0,1,0,0,0,0,3,9,0,0,27,0,0,0,0,6,4,0,14,0,0,0,0,0,0,13,0,11,1,2,6,4,8,5,8,83,0,0,0,0,0,1,16,0,14,0,0,0,0,0,0,2,0,0,0,0,1,28,0,0,2,0,0,0,0,3,0,0,42,0,0,14,20,22,0,0,0,0,10
OTU_61,0,0,0,5,4,0,0,45,0,0,0,0,0,239,1,0,212,0,0,1,0,0,0,341,11,0,0,0,170,3,0,0,0,0,3,0,0,0,0,0,208,11,0,0,0,0,45,0,15,0,18,676,1,12,567,0,1,24,47,7,165,0,0,72,0,493,0,0,5,373,0,3,1,0,0,2,1,66,1,1043,1314,0,0,2,0,6,2,0,0,5,0,1,0,69,255,0,32,1,0,0,0,0,2,0,1831,70,0
OTU_346,0,0,0,140,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,5,0,7,0,0,20,0,0,0,5,0,0,0,0,2,17,0,0,44,0,0,0,0,11,2,0,36,0,0,0,0,0,0,29,0,10,2,6,8,3,3,10,8,108,0,0,0,0,0,2,26,5,11,0,0,0,0,0,0,5,0,0,0,0,3,32,0,0,1,0,0,0,0,5,0,0,57,1,0,25,44,34,0,0,0,0,7
OTU_767,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,7,0,3,0,0,0,0
OTU_542,0,0,0,7,0,0,1,2,1,0,0,5,0,0,0,0,1,0,3,0,0,4,2,0,2,0,4,0,1,0,4,0,3,1,0,2,0,0,1,0,0,1,2,0,2,5,0,0,0,6,5,1,3,3,2,1,12,26,1,7,14,0,1,20,8,2,0,4,0,1,0,5,0,3,6,7,0,2,1,2,2,13,2,10,0,2,7,0,0,1,26,0,0,2,5,0,11,6,0,10,0,1,9,0,2,7,2
OTU_203,0,0,0,6,2,0,0,21,3,0,1,3,0,0,0,0,0,0,109,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,7,0,8,0,1,31,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,587,5,13,2,26,0,0,44,70,0,0,2,0,0,1,55,0,7,0,0,0,33,0,0,0,11,2,0,0
OTU_836,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3
OTU_776,0,0,0,6,2,0,0,0,1,0,0,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5,2,1,0,3,0,1,5,0,0,0,0,1,1,0,1,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,0
OTU_761,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2
OTU_781,0,0,0,14,0,2,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,0,0,0,1,3,1,1,0,0,0,0,0,10,4,0,4,0,0,0,0,9,20,0,0,6,0,0,0,0,3,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0
OTU_729,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,95,0,0,0,0,0,4,0,13,0,0,0,0,0,6,1,1,0,0,0,1,0,0,0,0,1,2,0,3,1,21,0,0,0,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,2,0,7,0
OTU_557,0,0,0,5,0,0,0,9,0,0,2,1,0,1,0,4,0,0,0,1,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,61,0,1,1,0,0,8,0,0,0,0,1,80,0,4,0,0,0,4,0,0,0,44,3,1,0,3,0,1,0,0,0,6,4,1,0,0,13,0,0,0,1,2,18,1,12,0,0,5,0,0,0,0,0,0,2,0,4,1,1,1,12,0,3,3,1,1,1,0
OTU_578,0,0,0,10,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,4,1,0,4,0,8,0,4,0,0,9,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,2,9,4,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,2,0,0,2,10,0,19,0,6,0,0,2,12,11,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,11,1,1,0,0,0,0,0
OTU_701,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
OTU_738,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_48,0,0,0,17,3,0,0,36,0,0,0,0,0,301,0,0,290,0,1,3,0,0,0,437,17,0,0,0,189,4,0,0,0,0,7,0,1,0,0,0,256,15,0,0,0,0,58,0,16,1,12,845,0,10,655,0,0,32,52,5,229,0,0,102,0,624,0,0,4,472,0,0,0,0,0,1,0,64,1,1328,1800,0,0,0,0,7,4,0,1,4,0,1,0,104,310,0,32,3,1,0,0,0,1,3,2001,103,0
OTU_521,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,12,6,0,1,0,0,0,1,22,0,3,4,0,0,0,0,0,0,0,2,5,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,3,0,0,10,0,0,14,0,0,1,0,0,1,0,0,11,0,0,0,6,4,0,0,1,0,0,2,0,0,4,0,1,0,0,0,1,0,1,0,0,4,0,0,0,8,0,1,1,0,0
OTU_18,0,0,0,2,3,22,0,2846,0,0,0,0,0,45,0,0,0,0,261,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1,0,0,202,0,0,0,0,0,721,0,0,0,468,161,0,0,1020,0,0,0,0,0,0,29,0,0,65,0,0,848,0,0,0,0,300,1,0,0,0,0,43,0,0,1,1,0,0,0,0,0,833,0,0,9,0,0,0,0,0,0,0,0,1,0,0,440,0,906,0,0,0
OTU_614,0,0,0,4,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,2,0,5,1,0,9,1,4,0,2,0,0,4,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,5,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,0,6,0,23,0,9,0,1,0,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,6,1,9,2,2,0,0,0
OTU_778,0,0,0,1,0,0,0,7,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,2,0,1,3,0,0,1,0,1,1,0,0,0
OTU_164,0,0,0,1,1,5,0,4,2,0,2,64,0,111,0,25,0,0,80,1,1,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,1,937,0,0,0,0,280,460,0,0,0,23,0,3,0,0,0,0,0,0,0,0,0,30,5,0,0,1,2,0,0,3,0,1,1,302,0,0,3,623,23,0,1,298,0,0,0,0,0,7,0,0,12,1,0,0,15,219,0,244,0,7,1,1,2,0,1,40,0,0
OTU_290,0,0,0,1,0,1,13,0,1,0,18,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,12,7,2,0,0,0,0,12,0,0,0,1,109,0,0,0,6,34,609,6,0,0,0,2,0,1,42,1,10,25,20,0,7,0,0,4,0,0,2,0,124,0,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,0,3,40,0,3,0,0,2,0,0,0,11,0,0,0,0,0,0,1,29
OTU_119,0,0,0,5,1,0,0,3,0,0,0,94,0,167,0,30,0,0,154,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,1303,2,0,0,0,401,684,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,34,11,0,0,0,6,0,0,7,0,1,0,491,0,0,6,967,25,0,0,485,0,1,0,0,0,6,0,0,9,0,0,0,7,324,0,419,0,0,1,0,3,0,3,46,0,0
OTU_1019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,2,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0
OTU_449,0,0,0,5,0,0,0,0,0,0,0,2,3,1,0,0,0,0,2,0,0,1,1,1,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,3,1,0,2,2,2,0,4,2,0,1,6,10,3,7,13,2,1,11,1,1,1,2,1,0,0,2,0,1,5,3,1,5,0,1,1,8,0,8,0,0,5,0,0,1,31,0,3,1,6,0,6,1,0,7,2,0,10,0,6,2,0
OTU_288,0,0,0,1,0,0,0,22,0,7,0,4,0,0,99,1,0,0,12,4,0,0,0,8,0,0,0,0,0,0,0,4,0,5,3,0,0,11,2,0,0,0,0,5,25,0,0,0,1,3,0,1,32,0,0,0,41,0,0,1,29,19,1,0,0,1,1,0,1,9,9,0,0,8,0,0,0,0,5,8,2,0,15,5,1,4,15,0,0,1,0,0,4,1,0,0,16,0,0,0,0,10,0,2,8,9,1
OTU_639,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,11,0,2,0,0,0,5,0,3,1,0,0,2,0,1,0
OTU_533,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,8,1,14,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,2,1,0,10,0,4,0,0,0,0,0,11,2,0,23,0,0,0,0,0,0,1,0,5,0,1,4,12,3,0,0,0,0,5,4,0,0,3,0,0,0,0,0,0,1,2,0,2,0,9,1,0,3,0,0,1,0,0
OTU_269,0,0,0,1,0,164,0,1,37,0,0,1,7,0,0,0,0,0,1,0,0,0,0,148,0,0,0,0,0,0,1355,0,0,397,0,267,1,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,4,2,0,738,1,0,0,0,0,0,0,0,81,0,0,0,1,275,0,0,1,0,0,123,0,0,1,0,0,48,188,0,64,13,0,0,0,1,371,918,0,15,1335,0,0,100,0
OTU_1029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1024,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
OTU_328,0,0,0,3,0,0,0,1,1,0,0,34,17,9,0,0,48,0,4,16,0,0,12,34,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,10,0,0,0,0,0,0,0,0,5,1,0,2,7,0,0,1,74,0,3,0,0,0,0,0,0,0,0,0,7,0,0,8,46,49,0,0,1,0,0,0,0,0,26,0,0,0,6,0,20,0,11,0,0,1,0,0,0,5,0,3,9,0,0
OTU_1032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,3,2,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0
OTU_314,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,106,0,0,0,0
OTU_545,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,0,3,0,0,0,9,2,0,0,0,0,0,0,0,2,2,0,0
OTU_973,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_463,0,0,0,2,10,23,0,0,0,0,29,61,23,2,0,0,0,0,659,0,0,16,0,19,0,0,16,3,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,6,11,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,6,4,0,0,58,3,0,5,189,0,3,13,0,0,0,0,369,0,0,33,57,4,17,23,0,161,0,0,0,15,16,0,4,3,0,13,7,0,201,18,64,10,0,122,39,0,0
OTU_680,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,37,0,1,2,0,0,0,0,1,5,1,0,0,1,0,0,1,8,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,2,1,1,0,1,0,2,1,0,4,1,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0
OTU_534,0,0,0,1,4,0,0,1,0,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0,15,0,0,0,1,0,0,1,0,5,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,10,1,2,0,1,2,1,0,4,0,3,3,0,1,0,0,1
