OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_55,140,200,3,1,116,0,821,2,34,74,96,0,54,40,0,76,243,18,6,155,0,255,77,622,3,0,1,3,43,71,0,315,56,152,17,0,19,155,4,10,27,0,31,64,0,125,14,0,26,13,2,70,0,286,66,302,8,56,68,49,38,54,5,37,17,81,70,159,46,53,0,48,65,29,19,16,90,9,38,40,6,38,0,13,12,8,8,101,4,8,0,0,0,0,195,22,155,118,9,0,10,151,6,46,40,6,16
OTU_248,250,3,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,99,0,0,0,0,0,9,0,113,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
OTU_17,151,212,154,6,10,117,8,40,37,164,95,585,1078,290,727,516,14,0,93,915,187,538,0,222,242,139,806,148,171,5,775,2,0,0,194,512,40,225,1009,30,149,23,183,665,110,0,0,0,3,38,36,198,452,1016,414,1420,841,649,328,3000,125,41,302,1316,985,1440,216,986,297,62,490,1198,719,0,558,209,1506,26,587,487,81,393,70,180,0,672,573,493,3,5,1420,72,0,26,310,110,180,913,1357,44,3373,102,4258,84,708,44,436
OTU_667,241,1,0,0,0,5,0,1574,0,0,0,0,0,20,0,0,0,0,248,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,111,0,0,0,0,0,461,0,0,0,311,102,1,0,735,0,0,0,0,0,0,28,0,3,34,0,0,520,0,0,0,0,183,9,0,0,0,0,39,0,0,1,38,0,0,0,0,0,546,0,0,25,0,0,0,0,0,0,0,0,99,4,0,257,0,579,0,0,0
OTU_20,21,2,189,31,119,352,66,85,83,74,136,744,202,6,23,123,96,3,145,296,84,233,53,42,24,223,31,67,36,186,449,50,252,229,114,12,38,51,324,101,93,196,240,172,83,101,217,0,64,445,148,81,41,181,39,360,695,51,157,294,164,47,41,666,330,68,36,162,44,244,514,185,72,92,333,14,263,466,411,305,490,620,240,104,72,452,662,593,54,163,764,259,80,713,304,476,162,91,517,687,1278,149,2143,200,115,438,170
OTU_233,41,0,479,0,52,55,94,34,21,24,40,53,204,15,2,159,63,4,28,92,75,104,325,29,168,36,59,3,0,39,348,12,8,8,24,0,0,21,581,0,0,0,92,109,19,2,0,0,16,59,61,11,151,78,102,67,268,55,63,149,194,5,17,393,266,78,3,48,182,0,23,27,152,9,286,41,323,33,1942,2319,2,322,154,37,4,40,46,341,21,10,1210,84,0,54,44,184,31,77,161,165,530,14,158,1,66,12,121
OTU_8,188,140,216,203,331,634,373,99,361,298,57,512,1716,155,238,82,83,1,43,928,81,75,10,165,808,632,235,198,8,58,482,46,23,43,213,4,46,158,61,2,203,56,270,327,266,40,1,0,68,76,573,218,229,2314,1456,120,326,460,1476,284,251,248,178,121,1,496,258,823,755,0,213,863,847,3,107,44,3013,853,950,337,47,1276,401,1788,30,207,16,283,38,6,2127,68,522,44,67,412,52,264,718,154,3615,165,797,29,18,343,47
OTU_81,33,34,159,24,8,22,0,19,13,9,14,72,71,14,2,39,10,20,6,161,8,39,210,11,170,85,124,15,0,87,60,14,3,55,18,0,3,5,1,0,0,0,23,21,1,41,0,0,13,51,29,8,85,46,6,57,25,314,21,267,247,5,3,211,94,26,1,33,53,0,24,18,86,31,44,119,159,90,854,436,8,110,254,113,8,50,50,203,7,17,628,133,27,21,35,12,27,153,11,24,181,10,296,0,26,33,10
OTU_38,141,234,2,2,0,0,1028,2,36,102,155,0,68,68,0,89,287,1,9,198,0,301,114,820,2,1,0,2,47,97,0,449,47,179,17,0,28,181,4,16,42,0,50,69,0,203,0,0,34,11,4,107,0,324,101,353,6,70,110,64,47,56,0,40,13,103,81,212,53,64,0,61,71,1,33,14,118,6,49,49,13,48,1,17,15,0,12,116,0,18,0,0,0,0,250,3,226,153,10,1,1,169,27,72,51,16,0
OTU_133,37,0,44,7,37,1,27,0,166,2,33,0,5,0,1,84,0,0,0,20,2,2,0,0,0,0,1,0,0,115,57,0,0,73,0,0,1,45,3,0,0,0,0,1,1,0,18,0,67,27,47,17,0,59,111,0,4,4,12,9,2,15,81,11,0,2,1,1,63,29,4,3,26,0,3,1,28,0,74,13,92,0,81,1,0,0,96,0,0,10,0,2,8,37,69,367,209,0,78,1,34,3,1,125,79,40,0
